co,de,lo,pa,sp
0.0201202283896071,0.0077453126605619,0.0314658217126157,0.0986162532687594,0
0.0301650688528541,0.00861523036834733,0.0236751031796285,0.116657062406391,0
0.0507962755546255,0.00856135675017434,0.0293473312353371,0.0965634935030362,0
0.0344815819806826,0.00969533200681685,0.020513822027993,0.134703927111174,0
0.0619593591873794,0.00920784416535171,0.0240483505593395,0.126206401306174,0
0.0255247350895746,0,0,0,0.0253544219979016
0.041701966679107,0,0,0,0.0464373599680567
0.0618783033572378,0,0,0,0.0368802963271053
0.0427545173270691,0,0,0,0.0662668479680034
0.0847224468552659,0,0,0,0.0344831108439224
0.0733628975775472,0,0,0,0.0887874759110454
0,0.011392191741195,0,0,0.00631168740410203
0,0.00150755469717876,0,0,0.0234423340478194
0,0.00526688661925151,0,0,0.0203214457852589
0,0.00184185379233002,0,0,0.0243542482694566
0,0.0016268100934095,0,0,0.0692604505740386
0,0.0059028759638709,0,0,0.0785022265853218
0,0,0.023144128065188,0,0.0404183315832206
0,0,0.0215780186145987,0,0.0703483693365995
0,0,0.039416651053365,0,0.107132705700537
0,0,0.0367877850814927,0,0.134588212171683
0,0,0.029032405125472,0,0.15701730585187
0,0,0.034203049341889,0,0.197285090758651
0,0.0240640079530716,0.0202775120278971,0,0.0402684117078369
0,0.0220130644808796,0.0195060267506416,0,0.0485710167867987
0,0.0296306722250438,0.0147588488672202,0,0.0732389187517261
0,0.0368878173580432,0.0228024334847848,0,0.0737627558596898
0,0.0389285431819891,0.0238298982860172,0,0.10171085828766
0,0.0480669078019006,0.0326242793356019,0,0.114970723401724
0.0362958683419978,0.00883333877037379,0.0399331893398147,0,0.0172542664753943
0.0200896232481307,0.00623077526510357,0.0322773246406655,0,0.0475136522033743
0.033536023961278603,0.00930673055484643,0.0382230914093341,0,0.0258283531260502
0.033092582220212,0.00945849501268296,0.0405699410404392,0,0.0368779694471137
0.0460865770368566,0.00440320441289719,0.0356588883886279,0,0.0647420803240088
0.101884951675096,0.00836820431310956,0.0514790430008133,0,0.0605509954287826
0,0,0,0.0437375998785848,0.0113221706270437
0,0,0,0.0463665982238329,0.0120976486077098
0,0,0,0.0488328016769522,0.0111582863389306
0,0,0,0.0462833418487237,0.0182034850148627
0,0,0,0.062460153375154,0.0204532528910002
0,0,0,0.061928213572703,0.0281870919012911
0.0103229121248484,0,0,0.0403268948512317,0.0152423804502304
0.015907588013836,0,0,0.0319222714283907,0.0207542648319252
0.0163333508067501,0,0,0.0458891160600862,0.0183195436677126
0.0125886921177886,0,0,0.0525700650246721,0.0197112423718472
0.0176839462978311,0,0,0.0428898082333615,0.0275103771988875
0.025332531673295,0,0,0.0502583888988999,0.0384742613632758
0.0138899551544453,0.00170981453649713,0,0.0297103389846831,0.0165734755129589
0.0202425730402583,0.00247871852922666,0,0.0272516450928806,0.0165393001295204
0.0323537044792724,0.00239015060144119,0,0.0303504768476662,0.00894176973761105
